y,x
0.971262,0.00931045
0.989726,0.0120770
1.02498,0.0175411
1.04177,0.0208614
1.05577,0.0262582
1.06082,0.0284723
1.05356,0.0307566
1.03905,0.0338029
1.02844,0.0366412
1.01840,0.0401714
1.01171,0.0438398
1.00223,0.0483389
0.992189,0.0522152
0.982151,0.0567144
0.976034,0.0623204
0.972158,0.0689644
0.971077,0.0756081
0.975023,0.0813517
0.980091,0.0879256
0.987400,0.0951914
0.997509,0.103357
1.01657,0.113320
1.03115,0.120724
1.04573,0.128197
1.06423,0.136915
1.08104,0.144042
1.09392,0.149162
1.10793,0.154420
1.11802,0.158848
1.12587,0.162654
1.13483,0.166321
1.16342,0.179052
1.17631,0.185002
1.19368,0.191990
1.20545,0.197733
1.21049,0.199809
