y,x
0.976828,0.00495010
1.00479,0.00709301
1.04171,0.0105500
1.06185,0.0132473
1.07136,0.0148381
1.05796,0.0168462
1.04064,0.0189238
1.02444,0.0220394
1.01104,0.0244627
0.990935,0.0281323
0.979764,0.0298634
0.968051,0.0346395
0.959691,0.0393461
0.959727,0.0455744
0.968718,0.0538782
0.977695,0.0594829
0.996190,0.0677858
1.01132,0.0742897
1.03261,0.0819003
1.05894,0.0913790
1.08191,0.101342
1.10097,0.109645
1.12674,0.120093
1.15028,0.129849
1.17382,0.139881
1.19399,0.148945
1.21193,0.156556
1.22818,0.164652
1.23772,0.169564
1.25228,0.175584
1.26853,0.182226
1.28423,0.188937
1.29991,0.194888
1.31000,0.199662
